Onygenales	sk__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales	sk__Eukaryota.nr__Opisthokonta.k__Fungi.p__Ascomycota.nr__saccharomyceta.nr__leotiomyceta.c__Eurotiomycetes.o__Onygenales
Ophiostomatales	sk__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales	sk__Eukaryota.nr__Opisthokonta.k__Fungi.p__Ascomycota.nr__saccharomyceta.nr__leotiomyceta.nr__sordariomyceta.c__Sordariomycetes.o__Ophiostomatales
Opisthokonta	sk__Eukaryota.nr__Opisthokonta	sk__Eukaryota.nr__Opisthokonta
Opitutae	sk__Bacteria.p__Verrucomicrobia.c__Opitutae	sk__Bacteria.nr__PVC_group.p__Verrucomicrobia.c__Opitutae
Oribacterium	sk__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Oribacterium	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Oribacterium
Oscillatoriales	sk__Bacteria.p__Cyanobacteria.o__Oscillatoriales	sk__Bacteria.nr__Terrabacteria_group.nr__Cyanobacteria/Melainabacteria_group.p__Cyanobacteria.o__Oscillatoriales
Oscillospiraceae	sk__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae
Oxalobacteraceae	sk__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	sk__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae
Paenibacillaceae	sk__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae
Pantoea	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Erwiniaceae.g__Pantoea	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Erwiniaceae.g__Pantoea
Paracoccus	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus
Paraneoptera	sk__Eukaryota.k__Metazoa.p__Arthropoda.c__Insecta.nr__unclassified_Paraneoptera	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Protostomia.nr__Ecdysozoa.nr__Panarthropoda.p__Arthropoda.nr__Mandibulata.nr__Pancrustacea.c__Insecta.nr__Dicondylia.nr__unclassified_Paraneoptera
Pasteurellales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales
Pectobacterium	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Pectobacteriaceae.g__Pectobacterium	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Pectobacteriaceae.g__Pectobacterium
Peptococcaceae	sk__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae
Peptoniphilaceae	sk__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae
Peptostreptococcaceae	sk__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae
Peronosporales	sk__Eukaryota.c__Oomycetes.o__Peronosporales	sk__Eukaryota.nr__Sar.nr__Stramenopiles.c__Oomycetes.o__Peronosporales
Phaeobacter	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Phaeobacter	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Phaeobacter
Phyllobacteriaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Phyllobacteriaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Phyllobacteriaceae
